lead_id,created_at,purpose,project_id,project_name,unit_id,unit_type,bedrooms_min,area_sqft,budget_min,budget_max,currency,location,timeline,name,phone,email,contact_status,lead_score,lead_grade,lead_summary,sales_handoff_message,source_url,source_document,unknown_fields
L-0001,2026-06-25T08:00:00.000Z,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,ccb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,unknown,unknown,236000,236000,AED,Ajman / Ajman Corniche,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Ajman Corniche Residences; Unit: Commercial; Budget: 236000-236000 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0001: buy inquiry for Ajman Corniche Residences. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0012,2026-06-23T23:00:00.000Z,commercial,ecb7dd4b_0ad1_e811_a2b8_00155d119707,Al Bustan,ecb7dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,36000,36000,AED,Ajman,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Al Bustan; Unit: Commercial; Budget: 36000-36000 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0012: commercial inquiry for Al Bustan. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Bustan&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Bustan&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0013,2026-06-23T20:00:00.000Z,buy,e6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Dana,e6b7dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,14400,14400,AED,Ajman,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Dana; Unit: Commercial; Budget: 14400-14400 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0013: buy inquiry for Al Dana. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Dana&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Dana&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0014,2026-06-23T17:00:00.000Z,rent,feb7dd4b_0ad1_e811_a2b8_00155d119707,Al Durra,feb7dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,26400,26400,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: rent; Project: Al Durra; Unit: Commercial; Budget: 26400-26400 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0014: rent inquiry for Al Durra. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Durra&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Durra&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0015,2026-06-23T14:00:00.000Z,invest,b0b8dd4b_0ad1_e811_a2b8_00155d119707,Al Fazzan,b0b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,44000,44000,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Al Fazzan; Unit: Commercial; Budget: 44000-44000 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0015: invest inquiry for Al Fazzan. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Fazzan&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Fazzan&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0016,2026-06-23T11:00:00.000Z,commercial,f4502104_adbf_ec11_a2bf_00155d119927,Al Gharoub,f4502104_adbf_ec11_a2bf_00155d119927_inventory,Leasing,1,unknown,28000,28000,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Al Gharoub; Unit: Leasing; Budget: 28000-28000 AED; Timeline: 3-6 months; Unknowns: name|phone|email.,Aqaar lead L-0016: commercial inquiry for Al Gharoub. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Gharoub&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Gharoub&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email
L-0017,2026-06-23T08:00:00.000Z,buy,76b8dd4b_0ad1_e811_a2b8_00155d119707,Al Humaidia Villa 1,76b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Villa,unknown,unknown,108000,108000,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,50,warm,Purpose: buy; Project: Al Humaidia Villa 1; Unit: Villa; Budget: 108000-108000 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0017: buy inquiry for Al Humaidia Villa 1. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%201&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%201&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0018,2026-06-23T05:00:00.000Z,rent,78b8dd4b_0ad1_e811_a2b8_00155d119707,Al Humaidia Villa 2,78b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Villa,unknown,unknown,45000,45000,AED,Ajman,unknown,unknown,unknown,unknown,unknown,50,warm,Purpose: rent; Project: Al Humaidia Villa 2; Unit: Villa; Budget: 45000-45000 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0018: rent inquiry for Al Humaidia Villa 2. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%202&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Humaidia%20Villa%202&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0019,2026-06-23T02:00:00.000Z,invest,e8b7dd4b_0ad1_e811_a2b8_00155d119707,Al Itihad,e8b7dd4b_0ad1_e811_a2b8_00155d119707_inventory,Leasing,1,unknown,33000,33000,AED,Ajman,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Al Itihad; Unit: Leasing; Budget: 33000-33000 AED; Timeline: immediate; Unknowns: name|phone|email.,Aqaar lead L-0019: invest inquiry for Al Itihad. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Itihad&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Itihad&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email
L-0020,2026-06-22T23:00:00.000Z,commercial,a6b8dd4b_0ad1_e811_a2b8_00155d119707,Al Johara,a6b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,20400,20400,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: commercial; Project: Al Johara; Unit: Commercial; Budget: 20400-20400 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0020: commercial inquiry for Al Johara. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Johara&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Johara&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0021,2026-06-22T20:00:00.000Z,buy,24b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 1,24b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,20000,20000,AED,Ajman / Jurf 1,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Jurf 1; Unit: Commercial; Budget: 20000-20000 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0021: buy inquiry for Al Jurf 1. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%201&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%201&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0022,2026-06-22T17:00:00.000Z,rent,26b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 2,26b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,21000,21000,AED,Ajman / Jurf 2,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al Jurf 2; Unit: Commercial; Budget: 21000-21000 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0022: rent inquiry for Al Jurf 2. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%202&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%202&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0023,2026-06-22T14:00:00.000Z,invest,22b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf 3,22b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,31680,31680,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,60,warm,Purpose: invest; Project: Al Jurf 3; Unit: Commercial; Budget: 31680-31680 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0023: invest inquiry for Al Jurf 3. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%203&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%203&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0024,2026-06-22T11:00:00.000Z,commercial,2ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Complex,2ab8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,14000,14000,AED,Ajman,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Al Jurf Complex; Unit: Commercial; Budget: 14000-14000 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0024: commercial inquiry for Al Jurf Complex. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Complex&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Complex&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0025,2026-06-22T08:00:00.000Z,buy,20b8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Residential Villas,20b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Villa,unknown,unknown,113400,113400,AED,Ajman,immediate,unknown,unknown,unknown,unknown,65,warm,Purpose: buy; Project: Al Jurf Residential Villas; Unit: Villa; Budget: 113400-113400 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0025: buy inquiry for Al Jurf Residential Villas. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Residential%20Villas&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Residential%20Villas&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0026,2026-06-22T05:00:00.000Z,rent,1cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Villas,1cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Villa,unknown,unknown,75000,75000,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,65,warm,Purpose: rent; Project: Al Jurf Villas; Unit: Villa; Budget: 75000-75000 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0026: rent inquiry for Al Jurf Villas. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0027,2026-06-22T02:00:00.000Z,invest,1eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Jurf Villas 2,1eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Villa,unknown,unknown,80000,80000,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,65,warm,Purpose: invest; Project: Al Jurf Villas 2; Unit: Villa; Budget: 80000-80000 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0027: invest inquiry for Al Jurf Villas 2. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas%202&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Jurf%20Villas%202&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0028,2026-06-21T23:00:00.000Z,commercial,8aed16b5_4982_ec11_a2bf_00155d119927,Al Karama,8aed16b5_4982_ec11_a2bf_00155d119927_inventory,Commercial,0,unknown,15000,15000,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Al Karama; Unit: Commercial; Budget: 15000-15000 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0028: commercial inquiry for Al Karama. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Karama&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Karama&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0029,2026-06-21T20:00:00.000Z,buy,44b8dd4b_0ad1_e811_a2b8_00155d119707,Al Khor Villas & Shops,44b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Villa,unknown,unknown,48000,48000,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,60,warm,Purpose: buy; Project: Al Khor Villas & Shops; Unit: Villa; Budget: 48000-48000 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0029: buy inquiry for Al Khor Villas & Shops. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Khor%20Villas%20%26%20Shops&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Khor%20Villas%20%26%20Shops&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0030,2026-06-21T17:00:00.000Z,rent,9cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Madina Tower,9cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,27000,27000,AED,Ajman,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al Madina Tower; Unit: Commercial; Budget: 27000-27000 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0030: rent inquiry for Al Madina Tower. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Madina%20Tower&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Madina%20Tower&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0031,2026-06-21T14:00:00.000Z,invest,7cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama Buildings,7cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,10000,10000,AED,Ajman,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Al Manama Buildings; Unit: Commercial; Budget: 10000-10000 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0031: invest inquiry for Al Manama Buildings. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Buildings&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Buildings&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0032,2026-06-21T11:00:00.000Z,buy,48b8dd4b_0ad1_e811_a2b8_00155d119707,Al Manama Old Clinic,48b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Healthcare,1,unknown,14400,14400,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Manama Old Clinic; Unit: Healthcare; Budget: 14400-14400 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0032: buy inquiry for Al Manama Old Clinic. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Old%20Clinic&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Old%20Clinic&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
