project_id,project_name,project_type,location,unit_type,bedrooms,price_min_omr,price_max_omr,status,target_customer,investment_score,keywords
PRJ-0021,Aqaar Commercial Boulevard Studio Release 3,Commercial Mixed Use,Commercial Boulevard,Studio,0,285000,545000,launch,"Commercial buyer, SME owner, yield investor",88,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0022,Aqaar Signature Villas 1BR Release 3,Luxury Villas,Muscat Bay,1BR,1,296000,566000,available,"Luxury buyer, family buyer, foreign investor",89,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0023,Aqaar Marina Residences 2BR Release 3,Marina Apartments,Waterfront District,2BR,2,307000,587000,limited,"Investor, rental seeker, first time buyer",90,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0024,Aqaar Garden Residences 3BR Release 3,Family Apartments,Garden District,3BR,3,318000,608000,coming_soon,"First time buyer, family buyer, rental seeker",91,"family, garden, apartment, courtyard, school, value"
PRJ-0025,Dusit Thani Penthouse Release 4,Branded Residences,Muscat Bay,Penthouse,3,329000,629000,launch,"Luxury buyer, foreign investor, lifestyle investor",92,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0026,Mawjan Villa Release 4,Waterfront Community,Waterfront District,Villa,4,340000,650000,available,"First time buyer, investor, rental seeker, young professional",93,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0027,Aqaar Commercial Boulevard Townhouse Release 4,Commercial Mixed Use,Commercial Boulevard,Townhouse,3,351000,671000,limited,"Commercial buyer, SME owner, yield investor",94,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0028,Aqaar Signature Villas Retail Release 4,Luxury Villas,Muscat Bay,Retail,0,362000,692000,coming_soon,"Luxury buyer, family buyer, foreign investor",95,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0029,Aqaar Marina Residences Office Release 4,Marina Apartments,Waterfront District,Office,0,373000,713000,launch,"Investor, rental seeker, first time buyer",96,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0030,Aqaar Garden Residences Showroom Release 4,Family Apartments,Garden District,Showroom,0,384000,734000,available,"First time buyer, family buyer, rental seeker",68,"family, garden, apartment, courtyard, school, value"
PRJ-0031,Dusit Thani Studio Release 5,Branded Residences,Muscat Bay,Studio,0,65000,755000,limited,"Luxury buyer, foreign investor, lifestyle investor",69,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0032,Mawjan 1BR Release 5,Waterfront Community,Waterfront District,1BR,1,76000,776000,coming_soon,"First time buyer, investor, rental seeker, young professional",70,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0033,Aqaar Commercial Boulevard 2BR Release 5,Commercial Mixed Use,Commercial Boulevard,2BR,2,87000,797000,launch,"Commercial buyer, SME owner, yield investor",71,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0034,Aqaar Signature Villas 3BR Release 5,Luxury Villas,Muscat Bay,3BR,3,98000,818000,available,"Luxury buyer, family buyer, foreign investor",72,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0035,Aqaar Marina Residences Penthouse Release 5,Marina Apartments,Waterfront District,Penthouse,3,109000,839000,limited,"Investor, rental seeker, first time buyer",73,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0036,Aqaar Garden Residences Villa Release 5,Family Apartments,Garden District,Villa,4,120000,860000,coming_soon,"First time buyer, family buyer, rental seeker",74,"family, garden, apartment, courtyard, school, value"
PRJ-0037,Dusit Thani Townhouse Release 6,Branded Residences,Muscat Bay,Townhouse,3,131000,881000,launch,"Luxury buyer, foreign investor, lifestyle investor",75,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0038,Mawjan Retail Release 6,Waterfront Community,Waterfront District,Retail,0,142000,902000,available,"First time buyer, investor, rental seeker, young professional",76,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0039,Aqaar Commercial Boulevard Office Release 6,Commercial Mixed Use,Commercial Boulevard,Office,0,153000,923000,limited,"Commercial buyer, SME owner, yield investor",77,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0040,Aqaar Signature Villas Showroom Release 6,Luxury Villas,Muscat Bay,Showroom,0,164000,944000,coming_soon,"Luxury buyer, family buyer, foreign investor",78,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0041,Aqaar Marina Residences Studio Release 6,Marina Apartments,Waterfront District,Studio,0,175000,965000,launch,"Investor, rental seeker, first time buyer",79,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0042,Aqaar Garden Residences 1BR Release 6,Family Apartments,Garden District,1BR,1,186000,986000,available,"First time buyer, family buyer, rental seeker",80,"family, garden, apartment, courtyard, school, value"
PRJ-0043,Dusit Thani 2BR Release 7,Branded Residences,Muscat Bay,2BR,2,197000,125000,limited,"Luxury buyer, foreign investor, lifestyle investor",81,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0044,Mawjan 3BR Release 7,Waterfront Community,Waterfront District,3BR,3,208000,146000,coming_soon,"First time buyer, investor, rental seeker, young professional",82,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0045,Aqaar Commercial Boulevard Penthouse Release 7,Commercial Mixed Use,Commercial Boulevard,Penthouse,3,219000,167000,launch,"Commercial buyer, SME owner, yield investor",83,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0046,Aqaar Signature Villas Villa Release 7,Luxury Villas,Muscat Bay,Villa,4,230000,188000,available,"Luxury buyer, family buyer, foreign investor",84,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0047,Aqaar Marina Residences Townhouse Release 7,Marina Apartments,Waterfront District,Townhouse,3,241000,209000,limited,"Investor, rental seeker, first time buyer",85,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0048,Aqaar Garden Residences Retail Release 7,Family Apartments,Garden District,Retail,0,252000,230000,coming_soon,"First time buyer, family buyer, rental seeker",86,"family, garden, apartment, courtyard, school, value"
PRJ-0049,Dusit Thani Office Release 8,Branded Residences,Muscat Bay,Office,0,263000,251000,launch,"Luxury buyer, foreign investor, lifestyle investor",87,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0050,Mawjan Showroom Release 8,Waterfront Community,Waterfront District,Showroom,0,274000,272000,available,"First time buyer, investor, rental seeker, young professional",88,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0051,Aqaar Commercial Boulevard Studio Release 8,Commercial Mixed Use,Commercial Boulevard,Studio,0,285000,293000,limited,"Commercial buyer, SME owner, yield investor",89,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0052,Aqaar Signature Villas 1BR Release 8,Luxury Villas,Muscat Bay,1BR,1,296000,314000,coming_soon,"Luxury buyer, family buyer, foreign investor",90,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0053,Aqaar Marina Residences 2BR Release 8,Marina Apartments,Waterfront District,2BR,2,307000,335000,launch,"Investor, rental seeker, first time buyer",91,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0054,Aqaar Garden Residences 3BR Release 8,Family Apartments,Garden District,3BR,3,318000,356000,available,"First time buyer, family buyer, rental seeker",92,"family, garden, apartment, courtyard, school, value"
PRJ-0055,Dusit Thani Penthouse Release 9,Branded Residences,Muscat Bay,Penthouse,3,329000,377000,limited,"Luxury buyer, foreign investor, lifestyle investor",93,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0056,Mawjan Villa Release 9,Waterfront Community,Waterfront District,Villa,4,340000,398000,coming_soon,"First time buyer, investor, rental seeker, young professional",94,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0057,Aqaar Commercial Boulevard Townhouse Release 9,Commercial Mixed Use,Commercial Boulevard,Townhouse,3,351000,419000,launch,"Commercial buyer, SME owner, yield investor",95,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0058,Aqaar Signature Villas Retail Release 9,Luxury Villas,Muscat Bay,Retail,0,362000,440000,available,"Luxury buyer, family buyer, foreign investor",96,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0059,Aqaar Marina Residences Office Release 9,Marina Apartments,Waterfront District,Office,0,373000,461000,limited,"Investor, rental seeker, first time buyer",68,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0060,Aqaar Garden Residences Showroom Release 9,Family Apartments,Garden District,Showroom,0,384000,482000,coming_soon,"First time buyer, family buyer, rental seeker",69,"family, garden, apartment, courtyard, school, value"
PRJ-0061,Dusit Thani Studio Release 10,Branded Residences,Muscat Bay,Studio,0,65000,503000,launch,"Luxury buyer, foreign investor, lifestyle investor",70,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0062,Mawjan 1BR Release 10,Waterfront Community,Waterfront District,1BR,1,76000,524000,available,"First time buyer, investor, rental seeker, young professional",71,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0063,Aqaar Commercial Boulevard 2BR Release 10,Commercial Mixed Use,Commercial Boulevard,2BR,2,87000,545000,limited,"Commercial buyer, SME owner, yield investor",72,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0064,Aqaar Signature Villas 3BR Release 10,Luxury Villas,Muscat Bay,3BR,3,98000,566000,coming_soon,"Luxury buyer, family buyer, foreign investor",73,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0065,Aqaar Marina Residences Penthouse Release 10,Marina Apartments,Waterfront District,Penthouse,3,109000,587000,launch,"Investor, rental seeker, first time buyer",74,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0066,Aqaar Garden Residences Villa Release 10,Family Apartments,Garden District,Villa,4,120000,608000,available,"First time buyer, family buyer, rental seeker",75,"family, garden, apartment, courtyard, school, value"
PRJ-0067,Dusit Thani Townhouse Release 11,Branded Residences,Muscat Bay,Townhouse,3,131000,629000,limited,"Luxury buyer, foreign investor, lifestyle investor",76,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0068,Mawjan Retail Release 11,Waterfront Community,Waterfront District,Retail,0,142000,650000,coming_soon,"First time buyer, investor, rental seeker, young professional",77,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0069,Aqaar Commercial Boulevard Office Release 11,Commercial Mixed Use,Commercial Boulevard,Office,0,153000,671000,launch,"Commercial buyer, SME owner, yield investor",78,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0070,Aqaar Signature Villas Showroom Release 11,Luxury Villas,Muscat Bay,Showroom,0,164000,692000,available,"Luxury buyer, family buyer, foreign investor",79,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0071,Aqaar Marina Residences Studio Release 11,Marina Apartments,Waterfront District,Studio,0,175000,713000,limited,"Investor, rental seeker, first time buyer",80,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0072,Aqaar Garden Residences 1BR Release 11,Family Apartments,Garden District,1BR,1,186000,734000,coming_soon,"First time buyer, family buyer, rental seeker",81,"family, garden, apartment, courtyard, school, value"
PRJ-0073,Dusit Thani 2BR Release 12,Branded Residences,Muscat Bay,2BR,2,197000,755000,launch,"Luxury buyer, foreign investor, lifestyle investor",82,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0074,Mawjan 3BR Release 12,Waterfront Community,Waterfront District,3BR,3,208000,776000,available,"First time buyer, investor, rental seeker, young professional",83,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0075,Aqaar Commercial Boulevard Penthouse Release 12,Commercial Mixed Use,Commercial Boulevard,Penthouse,3,219000,797000,limited,"Commercial buyer, SME owner, yield investor",84,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0076,Aqaar Signature Villas Villa Release 12,Luxury Villas,Muscat Bay,Villa,4,230000,818000,coming_soon,"Luxury buyer, family buyer, foreign investor",85,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0077,Aqaar Marina Residences Townhouse Release 12,Marina Apartments,Waterfront District,Townhouse,3,241000,839000,launch,"Investor, rental seeker, first time buyer",86,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0078,Aqaar Garden Residences Retail Release 12,Family Apartments,Garden District,Retail,0,252000,860000,available,"First time buyer, family buyer, rental seeker",87,"family, garden, apartment, courtyard, school, value"
PRJ-0079,Dusit Thani Office Release 13,Branded Residences,Muscat Bay,Office,0,263000,881000,limited,"Luxury buyer, foreign investor, lifestyle investor",88,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0080,Mawjan Showroom Release 13,Waterfront Community,Waterfront District,Showroom,0,274000,902000,coming_soon,"First time buyer, investor, rental seeker, young professional",89,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0081,Aqaar Commercial Boulevard Studio Release 13,Commercial Mixed Use,Commercial Boulevard,Studio,0,285000,923000,launch,"Commercial buyer, SME owner, yield investor",90,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0082,Aqaar Signature Villas 1BR Release 13,Luxury Villas,Muscat Bay,1BR,1,296000,944000,available,"Luxury buyer, family buyer, foreign investor",91,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0083,Aqaar Marina Residences 2BR Release 13,Marina Apartments,Waterfront District,2BR,2,307000,965000,limited,"Investor, rental seeker, first time buyer",92,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0084,Aqaar Garden Residences 3BR Release 13,Family Apartments,Garden District,3BR,3,318000,986000,coming_soon,"First time buyer, family buyer, rental seeker",93,"family, garden, apartment, courtyard, school, value"
PRJ-0085,Dusit Thani Penthouse Release 14,Branded Residences,Muscat Bay,Penthouse,3,329000,125000,launch,"Luxury buyer, foreign investor, lifestyle investor",94,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0086,Mawjan Villa Release 14,Waterfront Community,Waterfront District,Villa,4,340000,146000,available,"First time buyer, investor, rental seeker, young professional",95,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0087,Aqaar Commercial Boulevard Townhouse Release 14,Commercial Mixed Use,Commercial Boulevard,Townhouse,3,351000,167000,limited,"Commercial buyer, SME owner, yield investor",96,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0088,Aqaar Signature Villas Retail Release 14,Luxury Villas,Muscat Bay,Retail,0,362000,188000,coming_soon,"Luxury buyer, family buyer, foreign investor",68,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0089,Aqaar Marina Residences Office Release 14,Marina Apartments,Waterfront District,Office,0,373000,209000,launch,"Investor, rental seeker, first time buyer",69,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0090,Aqaar Garden Residences Showroom Release 14,Family Apartments,Garden District,Showroom,0,384000,230000,available,"First time buyer, family buyer, rental seeker",70,"family, garden, apartment, courtyard, school, value"
PRJ-0091,Dusit Thani Studio Release 15,Branded Residences,Muscat Bay,Studio,0,65000,251000,limited,"Luxury buyer, foreign investor, lifestyle investor",71,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0092,Mawjan 1BR Release 15,Waterfront Community,Waterfront District,1BR,1,76000,272000,coming_soon,"First time buyer, investor, rental seeker, young professional",72,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0093,Aqaar Commercial Boulevard 2BR Release 15,Commercial Mixed Use,Commercial Boulevard,2BR,2,87000,293000,launch,"Commercial buyer, SME owner, yield investor",73,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0094,Aqaar Signature Villas 3BR Release 15,Luxury Villas,Muscat Bay,3BR,3,98000,314000,available,"Luxury buyer, family buyer, foreign investor",74,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0095,Aqaar Marina Residences Penthouse Release 15,Marina Apartments,Waterfront District,Penthouse,3,109000,335000,limited,"Investor, rental seeker, first time buyer",75,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0096,Aqaar Garden Residences Villa Release 15,Family Apartments,Garden District,Villa,4,120000,356000,coming_soon,"First time buyer, family buyer, rental seeker",76,"family, garden, apartment, courtyard, school, value"
PRJ-0097,Dusit Thani Townhouse Release 16,Branded Residences,Muscat Bay,Townhouse,3,131000,377000,launch,"Luxury buyer, foreign investor, lifestyle investor",77,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0098,Mawjan Retail Release 16,Waterfront Community,Waterfront District,Retail,0,142000,398000,available,"First time buyer, investor, rental seeker, young professional",78,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0099,Aqaar Commercial Boulevard Office Release 16,Commercial Mixed Use,Commercial Boulevard,Office,0,153000,419000,limited,"Commercial buyer, SME owner, yield investor",79,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0100,Aqaar Signature Villas Showroom Release 16,Luxury Villas,Muscat Bay,Showroom,0,164000,440000,coming_soon,"Luxury buyer, family buyer, foreign investor",80,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0101,Aqaar Marina Residences Studio Release 16,Marina Apartments,Waterfront District,Studio,0,175000,461000,launch,"Investor, rental seeker, first time buyer",81,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0102,Aqaar Garden Residences 1BR Release 16,Family Apartments,Garden District,1BR,1,186000,482000,available,"First time buyer, family buyer, rental seeker",82,"family, garden, apartment, courtyard, school, value"
PRJ-0103,Dusit Thani 2BR Release 17,Branded Residences,Muscat Bay,2BR,2,197000,503000,limited,"Luxury buyer, foreign investor, lifestyle investor",83,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0104,Mawjan 3BR Release 17,Waterfront Community,Waterfront District,3BR,3,208000,524000,coming_soon,"First time buyer, investor, rental seeker, young professional",84,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0105,Aqaar Commercial Boulevard Penthouse Release 17,Commercial Mixed Use,Commercial Boulevard,Penthouse,3,219000,545000,launch,"Commercial buyer, SME owner, yield investor",85,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0106,Aqaar Signature Villas Villa Release 17,Luxury Villas,Muscat Bay,Villa,4,230000,566000,available,"Luxury buyer, family buyer, foreign investor",86,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0107,Aqaar Marina Residences Townhouse Release 17,Marina Apartments,Waterfront District,Townhouse,3,241000,587000,limited,"Investor, rental seeker, first time buyer",87,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0108,Aqaar Garden Residences Retail Release 17,Family Apartments,Garden District,Retail,0,252000,608000,coming_soon,"First time buyer, family buyer, rental seeker",88,"family, garden, apartment, courtyard, school, value"
PRJ-0109,Dusit Thani Office Release 18,Branded Residences,Muscat Bay,Office,0,263000,629000,launch,"Luxury buyer, foreign investor, lifestyle investor",89,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0110,Mawjan Showroom Release 18,Waterfront Community,Waterfront District,Showroom,0,274000,650000,available,"First time buyer, investor, rental seeker, young professional",90,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0111,Aqaar Commercial Boulevard Studio Release 18,Commercial Mixed Use,Commercial Boulevard,Studio,0,285000,671000,limited,"Commercial buyer, SME owner, yield investor",91,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0112,Aqaar Signature Villas 1BR Release 18,Luxury Villas,Muscat Bay,1BR,1,296000,692000,coming_soon,"Luxury buyer, family buyer, foreign investor",92,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0113,Aqaar Marina Residences 2BR Release 18,Marina Apartments,Waterfront District,2BR,2,307000,713000,launch,"Investor, rental seeker, first time buyer",93,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0114,Aqaar Garden Residences 3BR Release 18,Family Apartments,Garden District,3BR,3,318000,734000,available,"First time buyer, family buyer, rental seeker",94,"family, garden, apartment, courtyard, school, value"
PRJ-0115,Dusit Thani Penthouse Release 19,Branded Residences,Muscat Bay,Penthouse,3,329000,755000,limited,"Luxury buyer, foreign investor, lifestyle investor",95,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0116,Mawjan Villa Release 19,Waterfront Community,Waterfront District,Villa,4,340000,776000,coming_soon,"First time buyer, investor, rental seeker, young professional",96,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0117,Aqaar Commercial Boulevard Townhouse Release 19,Commercial Mixed Use,Commercial Boulevard,Townhouse,3,351000,797000,launch,"Commercial buyer, SME owner, yield investor",68,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0118,Aqaar Signature Villas Retail Release 19,Luxury Villas,Muscat Bay,Retail,0,362000,818000,available,"Luxury buyer, family buyer, foreign investor",69,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0119,Aqaar Marina Residences Office Release 19,Marina Apartments,Waterfront District,Office,0,373000,839000,limited,"Investor, rental seeker, first time buyer",70,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0120,Aqaar Garden Residences Showroom Release 19,Family Apartments,Garden District,Showroom,0,384000,860000,coming_soon,"First time buyer, family buyer, rental seeker",71,"family, garden, apartment, courtyard, school, value"
