property_type_id,property_type,category,typical_buyer,min_budget_omr,max_budget_omr,qualification_question
PTY-0071,Office Suite Variant 5,commercial,Rental Seeker,150000,516000,"May I know whether you prefer office suite options for residence, rental income, or long-term investment?"
PTY-0072,Commercial Showroom Variant 5,mixed_use,Foreign Investor,159000,540000,"May I know whether you prefer commercial showroom options for residence, rental income, or long-term investment?"
PTY-0073,Studio Apartment Variant 6,residential,First Time Buyer,168000,564000,"May I know whether you prefer studio apartment options for residence, rental income, or long-term investment?"
PTY-0074,One Bedroom Apartment Variant 6,commercial,Luxury Buyer,177000,588000,"May I know whether you prefer one bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0075,Two Bedroom Apartment Variant 6,mixed_use,Investor,186000,612000,"May I know whether you prefer two bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0076,Three Bedroom Apartment Variant 6,residential,Commercial Buyer,195000,636000,"May I know whether you prefer three bedroom apartment options for residence, rental income, or long-term investment?"
PTY-0077,Penthouse Variant 6,commercial,Rental Seeker,204000,660000,"May I know whether you prefer penthouse options for residence, rental income, or long-term investment?"
PTY-0078,Townhouse Variant 6,mixed_use,Foreign Investor,213000,684000,"May I know whether you prefer townhouse options for residence, rental income, or long-term investment?"
PTY-0079,Villa Variant 6,residential,First Time Buyer,222000,708000,"May I know whether you prefer villa options for residence, rental income, or long-term investment?"
PTY-0080,Branded Residence Variant 6,commercial,Luxury Buyer,231000,732000,"May I know whether you prefer branded residence options for residence, rental income, or long-term investment?"
