location_id,location_name,category,description,buyer_fit,rental_demand,capital_growth_signal,lifestyle_tags
LOC-0029,Madinat Al Sultan Qaboos Micro Market 2,central residential,Established residential district with premium family appeal,commercial,high,positive,hospitality
LOC-0030,Seeb Growth Corridor Micro Market 2,growth market,Value-oriented expansion corridor with family and rental demand,rental,premium,strong,commute
LOC-0031,Muscat Bay Micro Market 3,coastal luxury,Sea-view premium district with resort-led appeal,family,medium,stable,waterfront
LOC-0032,Waterfront District Micro Market 3,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,high,positive,family
LOC-0033,Commercial Boulevard Micro Market 3,commercial corridor,High-visibility business and retail corridor,investor,premium,strong,retail
LOC-0034,Garden District Micro Market 3,family community,Green community for family living and practical ownership,commercial,medium,stable,hospitality
LOC-0035,Marina Quarter Micro Market 3,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,high,positive,commute
LOC-0036,Al Mouj Vicinity Micro Market 3,premium coastal,Established premium lifestyle catchment near marina amenities,family,premium,strong,waterfront
LOC-0037,Qurum Micro Market 3,central prestige,Mature lifestyle district with executive and family relevance,luxury,medium,stable,family
LOC-0038,Azaiba Micro Market 3,airport access,Accessible residential and commercial district,investor,high,positive,retail
LOC-0039,Madinat Al Sultan Qaboos Micro Market 3,central residential,Established residential district with premium family appeal,commercial,premium,strong,hospitality
LOC-0040,Seeb Growth Corridor Micro Market 3,growth market,Value-oriented expansion corridor with family and rental demand,rental,medium,stable,commute
LOC-0041,Muscat Bay Micro Market 4,coastal luxury,Sea-view premium district with resort-led appeal,family,high,positive,waterfront
LOC-0042,Waterfront District Micro Market 4,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,premium,strong,family
LOC-0043,Commercial Boulevard Micro Market 4,commercial corridor,High-visibility business and retail corridor,investor,medium,stable,retail
LOC-0044,Garden District Micro Market 4,family community,Green community for family living and practical ownership,commercial,high,positive,hospitality
LOC-0045,Marina Quarter Micro Market 4,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,premium,strong,commute
LOC-0046,Al Mouj Vicinity Micro Market 4,premium coastal,Established premium lifestyle catchment near marina amenities,family,medium,stable,waterfront
LOC-0047,Qurum Micro Market 4,central prestige,Mature lifestyle district with executive and family relevance,luxury,high,positive,family
LOC-0048,Azaiba Micro Market 4,airport access,Accessible residential and commercial district,investor,premium,strong,retail
LOC-0049,Madinat Al Sultan Qaboos Micro Market 4,central residential,Established residential district with premium family appeal,commercial,medium,stable,hospitality
LOC-0050,Seeb Growth Corridor Micro Market 4,growth market,Value-oriented expansion corridor with family and rental demand,rental,high,positive,commute
LOC-0051,Muscat Bay Micro Market 5,coastal luxury,Sea-view premium district with resort-led appeal,family,premium,strong,waterfront
LOC-0052,Waterfront District Micro Market 5,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,medium,stable,family
LOC-0053,Commercial Boulevard Micro Market 5,commercial corridor,High-visibility business and retail corridor,investor,high,positive,retail
LOC-0054,Garden District Micro Market 5,family community,Green community for family living and practical ownership,commercial,premium,strong,hospitality
LOC-0055,Marina Quarter Micro Market 5,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,medium,stable,commute
LOC-0056,Al Mouj Vicinity Micro Market 5,premium coastal,Established premium lifestyle catchment near marina amenities,family,high,positive,waterfront
LOC-0057,Qurum Micro Market 5,central prestige,Mature lifestyle district with executive and family relevance,luxury,premium,strong,family
LOC-0058,Azaiba Micro Market 5,airport access,Accessible residential and commercial district,investor,medium,stable,retail
LOC-0059,Madinat Al Sultan Qaboos Micro Market 5,central residential,Established residential district with premium family appeal,commercial,high,positive,hospitality
LOC-0060,Seeb Growth Corridor Micro Market 5,growth market,Value-oriented expansion corridor with family and rental demand,rental,premium,strong,commute
LOC-0061,Muscat Bay Micro Market 6,coastal luxury,Sea-view premium district with resort-led appeal,family,medium,stable,waterfront
LOC-0062,Waterfront District Micro Market 6,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,high,positive,family
LOC-0063,Commercial Boulevard Micro Market 6,commercial corridor,High-visibility business and retail corridor,investor,premium,strong,retail
LOC-0064,Garden District Micro Market 6,family community,Green community for family living and practical ownership,commercial,medium,stable,hospitality
LOC-0065,Marina Quarter Micro Market 6,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,high,positive,commute
LOC-0066,Al Mouj Vicinity Micro Market 6,premium coastal,Established premium lifestyle catchment near marina amenities,family,premium,strong,waterfront
LOC-0067,Qurum Micro Market 6,central prestige,Mature lifestyle district with executive and family relevance,luxury,medium,stable,family
LOC-0068,Azaiba Micro Market 6,airport access,Accessible residential and commercial district,investor,high,positive,retail
LOC-0069,Madinat Al Sultan Qaboos Micro Market 6,central residential,Established residential district with premium family appeal,commercial,premium,strong,hospitality
LOC-0070,Seeb Growth Corridor Micro Market 6,growth market,Value-oriented expansion corridor with family and rental demand,rental,medium,stable,commute
LOC-0071,Muscat Bay Micro Market 7,coastal luxury,Sea-view premium district with resort-led appeal,family,high,positive,waterfront
LOC-0072,Waterfront District Micro Market 7,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,premium,strong,family
LOC-0073,Commercial Boulevard Micro Market 7,commercial corridor,High-visibility business and retail corridor,investor,medium,stable,retail
LOC-0074,Garden District Micro Market 7,family community,Green community for family living and practical ownership,commercial,high,positive,hospitality
LOC-0075,Marina Quarter Micro Market 7,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,premium,strong,commute
LOC-0076,Al Mouj Vicinity Micro Market 7,premium coastal,Established premium lifestyle catchment near marina amenities,family,medium,stable,waterfront
LOC-0077,Qurum Micro Market 7,central prestige,Mature lifestyle district with executive and family relevance,luxury,high,positive,family
LOC-0078,Azaiba Micro Market 7,airport access,Accessible residential and commercial district,investor,premium,strong,retail
LOC-0079,Madinat Al Sultan Qaboos Micro Market 7,central residential,Established residential district with premium family appeal,commercial,medium,stable,hospitality
LOC-0080,Seeb Growth Corridor Micro Market 7,growth market,Value-oriented expansion corridor with family and rental demand,rental,high,positive,commute
LOC-0081,Muscat Bay Micro Market 8,coastal luxury,Sea-view premium district with resort-led appeal,family,premium,strong,waterfront
LOC-0082,Waterfront District Micro Market 8,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,medium,stable,family
LOC-0083,Commercial Boulevard Micro Market 8,commercial corridor,High-visibility business and retail corridor,investor,high,positive,retail
LOC-0084,Garden District Micro Market 8,family community,Green community for family living and practical ownership,commercial,premium,strong,hospitality
LOC-0085,Marina Quarter Micro Market 8,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,medium,stable,commute
LOC-0086,Al Mouj Vicinity Micro Market 8,premium coastal,Established premium lifestyle catchment near marina amenities,family,high,positive,waterfront
LOC-0087,Qurum Micro Market 8,central prestige,Mature lifestyle district with executive and family relevance,luxury,premium,strong,family
LOC-0088,Azaiba Micro Market 8,airport access,Accessible residential and commercial district,investor,medium,stable,retail
LOC-0089,Madinat Al Sultan Qaboos Micro Market 8,central residential,Established residential district with premium family appeal,commercial,high,positive,hospitality
LOC-0090,Seeb Growth Corridor Micro Market 8,growth market,Value-oriented expansion corridor with family and rental demand,rental,premium,strong,commute
LOC-0091,Muscat Bay Micro Market 9,coastal luxury,Sea-view premium district with resort-led appeal,family,medium,stable,waterfront
LOC-0092,Waterfront District Micro Market 9,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,high,positive,family
LOC-0093,Commercial Boulevard Micro Market 9,commercial corridor,High-visibility business and retail corridor,investor,premium,strong,retail
LOC-0094,Garden District Micro Market 9,family community,Green community for family living and practical ownership,commercial,medium,stable,hospitality
LOC-0095,Marina Quarter Micro Market 9,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,high,positive,commute
LOC-0096,Al Mouj Vicinity Micro Market 9,premium coastal,Established premium lifestyle catchment near marina amenities,family,premium,strong,waterfront
LOC-0097,Qurum Micro Market 9,central prestige,Mature lifestyle district with executive and family relevance,luxury,medium,stable,family
LOC-0098,Azaiba Micro Market 9,airport access,Accessible residential and commercial district,investor,high,positive,retail
LOC-0099,Madinat Al Sultan Qaboos Micro Market 9,central residential,Established residential district with premium family appeal,commercial,premium,strong,hospitality
LOC-0100,Seeb Growth Corridor Micro Market 9,growth market,Value-oriented expansion corridor with family and rental demand,rental,medium,stable,commute
LOC-0101,Muscat Bay Micro Market 10,coastal luxury,Sea-view premium district with resort-led appeal,family,high,positive,waterfront
LOC-0102,Waterfront District Micro Market 10,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,premium,strong,family
LOC-0103,Commercial Boulevard Micro Market 10,commercial corridor,High-visibility business and retail corridor,investor,medium,stable,retail
LOC-0104,Garden District Micro Market 10,family community,Green community for family living and practical ownership,commercial,high,positive,hospitality
LOC-0105,Marina Quarter Micro Market 10,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,premium,strong,commute
LOC-0106,Al Mouj Vicinity Micro Market 10,premium coastal,Established premium lifestyle catchment near marina amenities,family,medium,stable,waterfront
LOC-0107,Qurum Micro Market 10,central prestige,Mature lifestyle district with executive and family relevance,luxury,high,positive,family
LOC-0108,Azaiba Micro Market 10,airport access,Accessible residential and commercial district,investor,premium,strong,retail
LOC-0109,Madinat Al Sultan Qaboos Micro Market 10,central residential,Established residential district with premium family appeal,commercial,medium,stable,hospitality
LOC-0110,Seeb Growth Corridor Micro Market 10,growth market,Value-oriented expansion corridor with family and rental demand,rental,high,positive,commute
LOC-0111,Muscat Bay Micro Market 11,coastal luxury,Sea-view premium district with resort-led appeal,family,premium,strong,waterfront
LOC-0112,Waterfront District Micro Market 11,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,medium,stable,family
LOC-0113,Commercial Boulevard Micro Market 11,commercial corridor,High-visibility business and retail corridor,investor,high,positive,retail
LOC-0114,Garden District Micro Market 11,family community,Green community for family living and practical ownership,commercial,premium,strong,hospitality
LOC-0115,Marina Quarter Micro Market 11,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,medium,stable,commute
LOC-0116,Al Mouj Vicinity Micro Market 11,premium coastal,Established premium lifestyle catchment near marina amenities,family,high,positive,waterfront
LOC-0117,Qurum Micro Market 11,central prestige,Mature lifestyle district with executive and family relevance,luxury,premium,strong,family
LOC-0118,Azaiba Micro Market 11,airport access,Accessible residential and commercial district,investor,medium,stable,retail
LOC-0119,Madinat Al Sultan Qaboos Micro Market 11,central residential,Established residential district with premium family appeal,commercial,high,positive,hospitality
LOC-0120,Seeb Growth Corridor Micro Market 11,growth market,Value-oriented expansion corridor with family and rental demand,rental,premium,strong,commute
LOC-0121,Muscat Bay Micro Market 12,coastal luxury,Sea-view premium district with resort-led appeal,family,medium,stable,waterfront
LOC-0122,Waterfront District Micro Market 12,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,high,positive,family
LOC-0123,Commercial Boulevard Micro Market 12,commercial corridor,High-visibility business and retail corridor,investor,premium,strong,retail
LOC-0124,Garden District Micro Market 12,family community,Green community for family living and practical ownership,commercial,medium,stable,hospitality
LOC-0125,Marina Quarter Micro Market 12,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,high,positive,commute
LOC-0126,Al Mouj Vicinity Micro Market 12,premium coastal,Established premium lifestyle catchment near marina amenities,family,premium,strong,waterfront
LOC-0127,Qurum Micro Market 12,central prestige,Mature lifestyle district with executive and family relevance,luxury,medium,stable,family
LOC-0128,Azaiba Micro Market 12,airport access,Accessible residential and commercial district,investor,high,positive,retail
LOC-0129,Madinat Al Sultan Qaboos Micro Market 12,central residential,Established residential district with premium family appeal,commercial,premium,strong,hospitality
LOC-0130,Seeb Growth Corridor Micro Market 12,growth market,Value-oriented expansion corridor with family and rental demand,rental,medium,stable,commute
LOC-0131,Muscat Bay Micro Market 13,coastal luxury,Sea-view premium district with resort-led appeal,family,high,positive,waterfront
LOC-0132,Waterfront District Micro Market 13,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,premium,strong,family
LOC-0133,Commercial Boulevard Micro Market 13,commercial corridor,High-visibility business and retail corridor,investor,medium,stable,retail
LOC-0134,Garden District Micro Market 13,family community,Green community for family living and practical ownership,commercial,high,positive,hospitality
LOC-0135,Marina Quarter Micro Market 13,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,premium,strong,commute
LOC-0136,Al Mouj Vicinity Micro Market 13,premium coastal,Established premium lifestyle catchment near marina amenities,family,medium,stable,waterfront
LOC-0137,Qurum Micro Market 13,central prestige,Mature lifestyle district with executive and family relevance,luxury,high,positive,family
LOC-0138,Azaiba Micro Market 13,airport access,Accessible residential and commercial district,investor,premium,strong,retail
LOC-0139,Madinat Al Sultan Qaboos Micro Market 13,central residential,Established residential district with premium family appeal,commercial,medium,stable,hospitality
LOC-0140,Seeb Growth Corridor Micro Market 13,growth market,Value-oriented expansion corridor with family and rental demand,rental,high,positive,commute
LOC-0141,Muscat Bay Micro Market 14,coastal luxury,Sea-view premium district with resort-led appeal,family,premium,strong,waterfront
LOC-0142,Waterfront District Micro Market 14,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,medium,stable,family
LOC-0143,Commercial Boulevard Micro Market 14,commercial corridor,High-visibility business and retail corridor,investor,high,positive,retail
LOC-0144,Garden District Micro Market 14,family community,Green community for family living and practical ownership,commercial,premium,strong,hospitality
LOC-0145,Marina Quarter Micro Market 14,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,medium,stable,commute
LOC-0146,Al Mouj Vicinity Micro Market 14,premium coastal,Established premium lifestyle catchment near marina amenities,family,high,positive,waterfront
LOC-0147,Qurum Micro Market 14,central prestige,Mature lifestyle district with executive and family relevance,luxury,premium,strong,family
LOC-0148,Azaiba Micro Market 14,airport access,Accessible residential and commercial district,investor,medium,stable,retail
LOC-0149,Madinat Al Sultan Qaboos Micro Market 14,central residential,Established residential district with premium family appeal,commercial,high,positive,hospitality
LOC-0150,Seeb Growth Corridor Micro Market 14,growth market,Value-oriented expansion corridor with family and rental demand,rental,premium,strong,commute
